price,area,price_per_sqft,location,bhk,resale,furnished,school,security,carparking,hospital,playarea,liftavailable,vaastucompliant
300.0,3340,8982.035928143712,JP Nagar Phase 1,4,0,0,0,1,0,0,1,1,0
83.58,1675,4989.850746268657,Doddanekundi,3,0,0,0,0,0,0,0,1,0
68.45,1670,4098.802395209581,Kengeri,3,0,0,0,1,1,0,1,1,0
67.97,1220,5571.311475409836,Horamavu,2,0,0,0,1,1,0,1,1,0
200.0,2502,7993.605115907274,Thanisandra,4,0,0,0,1,1,0,1,1,1
71.05,1438,4940.8901251738525,Ramamurthy Nagar,3,0,0,0,1,1,0,1,1,1
84.05,1405,5982.20640569395,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,0,0,1
35.06,660,5312.121212121212,Electronic City Phase 1,1,0,0,0,1,1,0,1,0,0
77.0,1362,5653.45080763583,Yelahanka,2,0,0,0,1,1,0,1,1,1
93.69,1735,5400.0,Anjanapura,3,0,0,0,1,1,0,1,1,1
87.16,1575,5533.9682539682535,Jalahalli,3,0,0,1,1,0,1,1,0,0
53.94,1120,4816.071428571428,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
63.67,1415,4499.6466431095405,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
50.8,1270,4000.0,Bommasandra,2,0,0,0,1,1,0,0,1,0
72.09999,1311,5499.617848970252,Bellandur,3,0,0,0,1,1,0,1,1,1
57.0,1210,4710.743801652892,RR Nagar,2,0,0,0,0,1,0,1,1,1
124.0,1705,7272.727272727273,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,1,1,0
49.0,1187,4128.053917438921,Begur,2,0,0,0,1,0,0,1,1,1
94.58,1726,5479.721900347625,Hosa Road,3,0,0,0,1,1,0,1,1,1
237.0,2470,9595.141700404858,Sahakar Nagar,4,0,0,0,1,1,0,1,1,1
73.63,1570,4689.8089171974525,Kadugodi,3,0,0,0,1,0,0,1,0,0
54.89,1120,4900.892857142857,Jakkur,2,0,0,0,0,0,0,0,0,0
42.16,1506,2799.468791500664,Jigani,3,0,0,0,1,1,0,1,0,1
43.68,1040,4200.0,Krishnarajapura,2,0,0,0,1,1,0,1,1,0
76.0,1150,6608.695652173913,Brookefield,2,0,0,0,0,0,0,0,0,0
45.45,1045,4349.282296650717,Horamavu,2,0,0,0,1,0,0,1,1,1
231.0,2480,9314.516129032258,Banashankari,3,0,0,0,1,1,0,1,1,0
80.0,1160,6896.551724137931,RR Nagar,2,0,0,0,1,1,0,1,1,1
45.14,1143,3949.2563429571305,RR Nagar,2,0,0,1,1,1,0,1,1,1
54.6,1300,4200.0,RR Nagar,2,1,0,1,1,1,0,1,1,1
44.14,966,4569.358178053831,Nelamangala,2,0,0,0,0,0,0,1,1,0
88.68,1245,7122.891566265061,Begur,2,0,0,0,1,0,0,0,1,1
61.33,1275,4810.196078431372,Ramamurthy Nagar,2,0,0,0,1,0,0,0,1,0
30.38,1085,2800.0,Attibele,2,0,0,0,1,0,0,1,1,0
71.0,1286,5520.99533437014,Nelamangala,3,1,0,0,0,0,0,1,1,1
75.06999,1155,6499.566233766233,Banaswadi,2,0,0,0,1,1,0,1,0,0
65.2,1304,5000.0,Whitefield Hope Farm Junction,3,0,0,0,1,1,0,1,0,0
63.89,1120,5704.464285714285,Kodigehalli,2,0,0,0,1,1,0,0,1,0
117.0,2017,5800.694100148736,ITPL,3,0,0,0,0,1,0,1,1,1
45.62,1304,3498.4662576687115,Electronic City Phase 1,3,0,0,0,0,0,0,1,1,0
29.51,649,4546.995377503852,Ramamurthy Nagar,1,0,0,0,0,0,0,0,1,0
42.64,1108,3848.375451263538,Krishnarajapura,2,0,0,0,1,1,0,1,0,0
66.98,1675,3998.805970149254,Krishnarajapura,3,0,0,0,0,1,0,0,1,0
45.0,1075,4186.046511627907,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
49.28,1120,4400.0,Varthur,2,0,0,0,0,0,0,0,1,0
61.0,1350,4518.518518518518,other,2,0,0,0,0,0,0,0,0,0
61.51,1404,4381.054131054131,Electronic City Phase 2,2,0,0,0,1,1,0,1,0,1
54.26,1080,5024.074074074074,Begur,2,0,0,0,1,0,0,0,1,0
130.0,1800,7222.222222222223,other,3,1,0,0,0,0,0,0,1,0
48.5,1060,4575.471698113208,other,2,0,0,0,0,1,0,1,1,0
46.04,1540,2989.6103896103896,Narayanaghatta,3,0,0,0,1,1,0,1,1,1
36.07,1110,3249.5495495495497,Anekal City,3,0,0,0,1,0,0,1,1,1
165.0,1645,10030.395136778116,Sahakar Nagar,3,1,0,0,1,1,0,1,1,1
48.4,1345,3598.5130111524163,Sarjapur,3,0,0,0,1,1,0,1,1,1
258.0,1866,13826.36655948553,Koramangala,3,0,0,0,1,1,0,1,1,1
510.0,3500,14571.42857142857,Hebbal,3,0,0,0,1,1,0,1,0,0
48.09,1145,4200.0,Electronic City Phase 1,2,0,0,0,1,0,0,1,1,0
50.7,935,5422.459893048128,Budigere Cross,2,0,0,0,1,1,0,1,1,1
105.0,1455,7216.494845360825,Bommanahalli,3,0,0,0,1,1,0,1,1,0
45.8,1145,4000.0,Varthur,2,0,0,0,0,1,0,1,1,0
55.59,1635,3400.0,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,1,1,1
47.23,1145,4124.890829694323,RR Nagar,2,0,0,0,1,1,0,1,1,0
44.65,1175,3800.0,Krishnarajapura,3,0,0,0,0,0,0,0,0,0
89.54,1216,7363.486842105263,Varthur,2,0,0,1,1,1,0,1,1,1
40.0,1005,3980.0995024875624,Electronics City,2,0,0,0,0,0,0,0,0,0
54.0,1200,4500.0,Chikkalasandra,2,1,0,0,0,0,0,0,0,1
87.84,1279,6867.865519937451,Kogilu,2,0,0,0,1,1,0,1,1,1
79.0,1180,6694.9152542372885,other,2,0,0,0,1,1,0,1,1,1
47.81,1310,3649.618320610687,Electronic City Phase 2,3,0,0,0,1,1,0,1,1,1
150.0,1776,8445.945945945947,Bilekahalli,3,0,0,0,1,1,0,1,1,1
47.0,1125,4177.777777777777,Horamavu,2,0,0,0,1,1,0,0,1,1
77.67,1195,6499.581589958159,Muneshwara Nagar,3,0,0,0,0,0,0,1,1,0
64.87,1272,5099.842767295598,Thanisandra,2,0,0,0,1,1,0,1,1,0
140.0,2170,6451.612903225807,Junnasandra,3,0,0,0,1,1,0,1,1,1
87.58,1510,5800.0,RR Nagar,3,0,0,0,0,0,0,0,0,0
55.0,1170,4700.854700854701,other,2,0,0,0,0,0,0,0,0,0
49.0,1215,4032.9218106995886,other,2,0,0,0,0,0,0,0,0,0
220.0,1833,12002.182214948172,ITPL,3,0,0,0,1,1,0,1,1,1
75.0,1100,6818.181818181818,other,2,1,0,0,0,0,0,0,1,1
37.79999,900,4199.998888888889,Kudlu,2,0,0,0,1,0,0,1,1,1
82.18,1505,5460.465116279071,Electronic City Phase 2,3,0,0,0,1,1,0,1,1,1
86.56,1502,5762.982689747004,Jakkur,3,0,0,0,1,1,0,1,1,1
75.2,1675,4489.55223880597,Doddanekundi,3,0,0,0,0,0,0,0,1,0
110.0,1805,6094.182825484764,Begur,3,0,0,1,1,1,1,1,1,1
113.99999,1880,6063.829255319149,Begur,3,0,0,1,1,1,1,1,1,1
130.0,2180,5963.302752293578,Begur,4,0,0,1,1,1,1,1,1,1
112.99999,1850,6108.1075675675675,Begur,3,0,0,1,1,1,1,1,1,1
67.36,1350,4989.62962962963,Doddanekundi,2,0,0,0,0,0,0,0,1,0
82.33,1650,4989.69696969697,Doddanekundi,3,0,0,0,0,0,0,0,1,0
67.61,1355,4989.667896678967,Doddanekundi,3,0,0,0,0,0,0,0,1,0
66.11,1325,4989.433962264151,Doddanekundi,2,0,0,0,0,0,0,0,1,0
62.87,1260,4989.68253968254,Doddanekundi,2,0,0,0,0,0,0,0,1,0
64.37,1290,4989.922480620155,Doddanekundi,2,0,0,0,0,0,0,0,1,0
61.12,1225,4989.3877551020405,Doddanekundi,2,0,0,0,0,0,0,0,1,0
64.87,1300,4990.0,Doddanekundi,2,0,0,0,0,0,0,0,1,0
47.22,1152,4098.958333333333,Kengeri,2,0,0,0,1,1,0,1,1,0
45.86,1119,4098.302055406613,Kengeri,2,0,0,0,1,1,0,1,1,0
45.82,1118,4098.389982110913,Kengeri,2,0,0,0,1,1,0,1,1,0
67.87,1656,4098.429951690821,Kengeri,3,0,0,0,1,1,0,1,1,0
93.19,1629,5720.687538367097,Horamavu,3,0,0,0,1,1,0,1,1,0
68.92,1237,5571.544058205335,Horamavu,2,0,0,0,1,1,0,1,1,0
92.77,1275,7276.078431372549,Bommanahalli,2,0,0,0,1,1,0,1,0,0
116.0,1615,7182.66253869969,Bommanahalli,3,0,0,0,1,1,0,1,0,0
109.0,1515,7194.7194719471945,Bommanahalli,3,0,0,0,1,1,0,1,0,0
105.0,1455,7216.494845360825,Bommanahalli,3,0,0,0,1,1,0,1,0,0
98.59,1360,7249.264705882353,Bommanahalli,3,0,0,0,1,1,0,1,0,0
69.73999,1409,4949.608942512421,Ramamurthy Nagar,3,0,0,0,1,1,0,1,1,1
57.05,1139,5008.779631255487,Ramamurthy Nagar,2,0,0,0,1,1,0,1,1,1
57.72,1154,5001.7331022530325,Ramamurthy Nagar,2,0,0,0,1,1,0,1,1,1
67.20999,1353,4967.478935698448,Ramamurthy Nagar,3,0,0,0,1,1,0,1,1,1
67.61,1362,4964.023494860499,Ramamurthy Nagar,3,0,0,0,1,1,0,1,1,1
56.77,1133,5010.591350397176,Ramamurthy Nagar,2,0,0,0,1,1,0,1,1,1
53.84,1068,5041.198501872659,Ramamurthy Nagar,2,0,0,0,1,1,0,1,1,1
91.41,1540,5935.714285714285,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,0,0,1
95.22,1610,5914.285714285715,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,0,0,1
100.0,1715,5830.903790087464,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,0,0,1
72.11,1195,6034.309623430962,Whitefield Hope Farm Junction,2,0,0,0,1,0,0,0,0,1
85.14,1425,5974.736842105263,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,0,0,1
103.0,1760,5852.272727272727,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,0,0,1
77.83,1300,5986.923076923077,Whitefield Hope Farm Junction,2,0,0,0,1,0,0,0,0,1
74.29,1235,6015.384615384616,Whitefield Hope Farm Junction,2,0,0,0,1,0,0,0,0,1
78.09999,1305,5984.673563218392,Whitefield Hope Farm Junction,2,0,0,0,1,0,0,0,0,1
62.5,1120,5580.357142857143,Electronic City Phase 1,2,0,0,0,1,1,0,1,0,0
37.97999,715,5311.8867132867135,Electronic City Phase 1,1,0,0,0,1,1,0,1,0,0
50.34,910,5531.868131868132,Electronic City Phase 1,2,0,0,0,1,1,0,1,0,0
78.97,1430,5522.377622377622,Electronic City Phase 1,3,0,0,0,1,1,0,1,0,0
53.27,965,5520.20725388601,Electronic City Phase 1,2,0,0,0,1,1,0,1,0,0
82.69,1500,5512.666666666667,Electronic City Phase 1,3,0,0,0,1,1,0,1,0,0
59.58,1065,5594.366197183099,Electronic City Phase 1,2,0,0,0,1,1,0,1,0,0
69.0,1273,5420.267085624509,Yelahanka,2,0,0,0,1,1,0,1,1,1
97.0,1705,5689.149560117302,Yelahanka,3,0,0,0,1,1,0,1,1,1
73.0,1304,5598.159509202454,Yelahanka,2,0,0,0,1,1,0,1,1,1
91.8,1700,5400.0,Anjanapura,3,0,0,0,1,1,0,1,1,1
69.86,1277,5470.634299138606,Carmelaram,2,0,0,0,1,0,0,1,1,0
60.81,1111,5473.4473447344735,Carmelaram,2,0,0,0,1,0,0,1,1,0
78.91,1443,5468.468468468468,Carmelaram,3,0,0,0,1,0,0,1,1,0
60.7,1109,5473.399458972047,Carmelaram,2,0,0,0,1,0,0,1,1,0
59.61,1089,5473.829201101928,Carmelaram,2,0,0,0,1,0,0,1,1,0
84.42,1544,5467.616580310881,Carmelaram,3,0,0,0,1,0,0,1,1,0
90.03,1647,5466.302367941712,Carmelaram,3,0,0,0,1,0,0,1,1,0
59.23,1082,5474.121996303143,Carmelaram,2,0,0,0,1,0,0,1,1,0
61.74,1128,5473.404255319149,Carmelaram,2,0,0,0,1,0,0,1,1,0
59.94,1095,5473.972602739726,Carmelaram,2,0,0,0,1,0,0,1,1,0
81.8,1496,5467.914438502674,Carmelaram,3,0,0,0,1,0,0,1,1,0
76.62,1401,5468.950749464668,Carmelaram,3,0,0,0,1,0,0,1,1,0
87.63,1538,5697.659297789337,Horamavu,3,0,0,0,1,1,0,1,1,0
89.57,1573,5694.214876033057,Horamavu,3,0,0,0,1,1,0,1,1,0
65.81,1181,5572.396274343777,Horamavu,2,0,0,0,1,1,0,1,1,0
96.4,1687,5714.285714285715,Horamavu,3,0,0,0,1,1,0,1,1,0
