price,area,bhk,resale,furnished,school,security,carparking,hospital,playarea,liftavailable,vaastucompliant,5th Phase,Abbigere,Adugodi,Anagalapura Near Hennur Main Road,Anekal City,Anjanapura,Attibele,Avalahalli Off Sarjapur Road,BEML Layout 5th Stage,Babusa Palya,Banashankari,Banaswadi,Basaveswarnagar,Begur,Bellandur,Bilekahalli,Bommanahalli,Bommasandra,Brookefield,Budigere Cross,CV Raman Nagar,Carmelaram,Chandapura,Chandapura Anekal Road,Chikkagubbi on Hennur Main Road,Chikkalasandra,Dasarahalli on Tumkur Road,Devanahalli,Doddanekundi,Electronic City Phase 1,Electronic City Phase 2,Electronics City,Gottigere,HBR Layout,Harlur,Hebbal,Hennur,Hennur Road,Horamavu,Hosa Road,Hulimavu,ITPL,JP Nagar Phase 1,JP Nagar Phase 3,JP Nagar Phase 4,JP Nagar Phase 5,JP Nagar Phase 7,JP Nagar Phase 8,JP Nagar Phase 9,Jakkur,Jalahalli,Jayanagar,Jigani,Junnasandra,KPC Layout,Kadugodi,Kalyan Nagar,Kammanahalli,Kanakapura Road Beyond Nice Ring Road,Kannamangala,Kannur on Thanisandra Main Road,Kasavanahalli,Kengeri,Kodigehalli,Kogilu,Kogilu Road Near Yelahanka,Konanakunte,Koppa Begur Road,Koramangala,Krishnarajapura,Kudlu,Kumaraswamy Layout,Kumbalgodu,Manyata Tech Park Nagawara,Marathahalli,Marsur,Muneshwara Nagar,Nagarbhavi,Narayanaghatta,Narayanapura on Hennur Main Road,Near Peenya Industrial Area,Nelamangala,Poorna Pragna Layout,Poornapragna Housing Society Layout,RR Nagar,Raja Rajeshwari Nagar 5th Stage,Rajajinagar,Rajarajeshwari nagar,Ramamurthy Nagar,Richmond Town,Sahakar Nagar,Sarjapur,Sarjapur Attibele,Sarjapur Road,Sarjapur Road Till Wipro,Sarjapur Road Wipro To Railway Crossing,Singasandra,Subramanyapura,Talaghattapura,Thanisandra,Thanisandra Main Road,Uttarahalli,Uttarahalli Main Road,Varthur,Whitefield Hope Farm Junction,Yelahanka,Yeshwantpur,sarjapura attibele road
67.0,1180,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0,1185,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.0,1180,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.76,1185,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.98999,1180,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.0,1180,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132.0,1180,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.0,1185,2,0,1,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,910,2,0,1,9,9,9,9,9,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,940,2,0,1,9,9,9,9,9,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
